Instruction_1.started,Instruction_1.stopped,key_resp.keys,調査協力者ID,date,expName,psychopyVersion,OS,frameRate,Testing.started,Testing.stopped,key_resp_5.keys,key_resp_5.corr,testingLoop.thisRepN,testingLoop.thisTrialN,testingLoop.thisN,testingLoop.thisIndex,testingLoop.ran,ss_Testing.started,ss_Testing.stopped,key_resp_13.keys,key_resp_13.corr,ss_TestingLoop.thisRepN,ss_TestingLoop.thisTrialN,ss_TestingLoop.thisN,ss_TestingLoop.thisIndex,ss_TestingLoop.ran,nb1TestingInstruct.started,nb1TestingInstruct.stopped,nb1TestingDisplay.started,nb1TestingDisplay.stopped,nb1TestingNumber.started,nb1TestingNumber.stopped,nb1TestingResponse.started,nb1TestingResponse.stopped,key_resp_20.keys,key_resp_20.corr,nb1TestingLoop.thisRepN,nb1TestingLoop.thisTrialN,nb1TestingLoop.thisN,nb1TestingLoop.thisIndex,nb1TestingLoop.ran,nb1TestingPreLocation,nb1TestingLocation,nb1TestingDistance,nb1TestingFixationNumber,nb1TestingCorrResp,nb1Testingvisual_hemifield,nb2TestingInstruct.started,nb2TestingInstruct.stopped,nb2TestingDisplay_1.started,nb2TestingDisplay_1.stopped,nb2TestingDisplay_2.started,nb2TestingDisplay_2.stopped,nb2TestingResponse.started,nb2TestingResponse.stopped,key_resp_29.keys,key_resp_29.corr,nb2TestingLoop.thisRepN,nb2TestingLoop.thisTrialN,nb2TestingLoop.thisN,nb2TestingLoop.thisIndex,nb2TestingLoop.ran,nb2TestingPreLocation,nb2TestingLocation,nb2TestingDistance,nb2TestingCorrResp,nb2TestingInterference,nb2Testingvisual_hemifield,key_resp_5.rt,key_resp_5.duration,key_resp_13.rt,key_resp_13.duration,key_resp_20.rt,key_resp_20.duration,key_resp_29.rt,key_resp_29.duration,id,time
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,192.9016,195.7159,,0.0,7.0,0.0,7.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,195.7184,197.9163,,0.0,8.0,0.0,8.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,197.9192,200.1327,,0.0,9.0,0.0,9.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,200.1351,202.4499,,0.0,10.0,0.0,10.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,202.453,205.2165,,0.0,11.0,0.0,11.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,205.2194,207.8884,,0.0,12.0,0.0,12.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,207.8913,211.0497,,0.0,13.0,0.0,13.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,211.0525,214.0331,,0.0,14.0,0.0,14.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,214.0355,216.5181,,0.0,15.0,0.0,15.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,216.52,219.4508,,0.0,16.0,0.0,16.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
,,,ZjxfZMSsl3ec,2025-03-04,Reaction Survey,2024.2.4,Win32,59.88023952,,,,,,,,,,219.4538,222.0845,,0.0,17.0,0.0,17.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,zjxfzmssl3ec,T3
